Ambiance_principale,Ambiance_secondaire,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
Atypique,Atypique,22,4.07,0.0,10.0,4.5,5.0
Atypique,Calme,7,5.21,3.0,8.5,4.0,4.0
Atypique,Dansant,41,5.09,0.0,10.0,5.0,7.0
Atypique,Sombre,6,5.5,4.0,7.5,5.25,5.0
Atypique,Épique,22,5.95,2.0,10.0,5.5,5.0
Calme,Atypique,17,5.56,0.5,10.0,5.0,3.0
Calme,Calme,33,4.85,0.5,9.5,5.0,7.0
Calme,Dansant,47,5.78,1.0,10.0,5.5,5.0
Calme,Sombre,11,4.55,2.0,7.0,5.0,5.0
Calme,Épique,12,6.54,4.0,10.0,7.0,4.0
Dansant,Atypique,37,4.42,0.5,10.0,4.5,5.0
Dansant,Calme,16,6.16,1.0,10.0,6.0,5.0
Dansant,Dansant,36,5.72,2.0,10.0,5.5,4.0
Dansant,Sombre,9,4.67,1.0,9.0,4.0,4.0
Dansant,Épique,31,5.32,0.5,10.0,5.0,5.0
Sombre,Atypique,9,5.06,1.0,10.0,5.0,1.0
Sombre,Calme,5,7.5,5.0,9.5,8.0,5.0
Sombre,Dansant,3,4.83,4.5,5.0,5.0,5.0
Sombre,Sombre,2,5.0,3.0,7.0,5.0,3.0
Sombre,Épique,13,7.08,2.0,10.0,6.5,10.0
Épique,Atypique,10,7.7,4.0,10.0,8.0,10.0
Épique,Calme,4,7.75,5.0,10.0,8.0,10.0
Épique,Dansant,24,6.96,3.0,10.0,6.25,10.0
Épique,Sombre,19,6.87,1.0,10.0,6.5,10.0
Épique,Épique,4,8.0,5.5,10.0,8.25,5.5
