Annee,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
2009,4,2.25,1.0,5.0,1.5,1.0
2010,1,4.0,4.0,4.0,4.0,4.0
2011,6,2.83,0.5,6.0,2.5,0.5
2012,5,2.8,1.0,6.0,2.0,1.0
2013,5,2.4,1.0,4.0,2.0,2.0
2014,7,2.43,1.0,4.0,2.0,2.0
2015,16,3.75,0.0,7.0,3.5,3.0
2016,15,3.57,0.5,6.0,4.0,4.0
2017,24,4.73,0.0,10.0,5.0,2.0
2018,35,4.91,2.0,9.0,5.0,4.0
2019,49,5.7,0.0,10.0,5.5,5.0
2020,55,6.05,1.0,10.0,6.0,6.0
2021,32,6.41,1.0,10.0,7.0,7.0
2022,40,5.41,1.0,10.0,5.0,5.0
2023,85,6.29,0.5,10.0,6.0,5.0
2024,61,6.96,1.0,10.0,7.0,10.0
