Numero,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
1,20,5.28,0.5,10.0,5.0,4.0
2,20,4.78,1.0,9.0,5.0,5.0
3,20,5.45,0.0,10.0,5.0,5.0
4,20,5.67,2.0,10.0,5.25,3.0
5,20,6.65,2.0,10.0,6.0,5.0
6,20,5.88,2.0,10.0,5.5,3.0
7,20,5.1,0.0,10.0,5.0,4.0
8,20,4.25,0.0,9.5,4.0,4.0
9,20,6.05,3.0,10.0,6.0,6.0
10,20,5.78,3.0,10.0,5.0,4.0
11,20,5.17,1.0,10.0,5.0,5.0
12,20,5.63,1.0,10.0,5.5,5.0
13,20,5.13,0.5,9.0,5.0,4.0
14,20,5.5,1.0,8.5,6.0,7.0
15,20,7.0,2.0,10.0,7.25,10.0
16,20,4.83,0.5,10.0,5.0,4.0
17,20,5.9,2.0,10.0,5.5,3.0
18,20,5.75,3.0,10.0,5.75,4.0
19,20,6.13,0.5,10.0,6.75,10.0
20,20,4.88,1.0,10.0,5.0,6.0
21,20,6.58,2.0,10.0,7.0,7.0
22,20,5.9,1.0,10.0,5.25,10.0
