Artiste,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
(G)I-dle,9,4.67,1.0,8.0,5.0,5.0
2 PM,1,2.0,2.0,2.0,2.0,2.0
2Ne1,2,1.25,0.5,2.0,1.25,0.5
4Minute,1,3.0,3.0,3.0,3.0,3.0
8Turn,2,5.0,5.0,5.0,5.0,5.0
AB6IX,1,5.0,5.0,5.0,5.0,5.0
Aespa,8,5.25,2.0,7.0,6.0,6.0
Agust D,2,1.5,1.0,2.0,1.5,1.0
AleXa,1,8.0,8.0,8.0,8.0,8.0
Ampers&one,1,4.0,4.0,4.0,4.0,4.0
Astro,1,6.0,6.0,6.0,6.0,6.0
Ateez,14,7.14,2.0,10.0,6.75,6.0
B.A.P,2,4.5,4.0,5.0,4.5,4.0
BTS,37,4.38,1.0,10.0,4.0,2.0
BabyMonster,4,4.88,0.5,7.0,6.0,7.0
Badvillain,1,6.5,6.5,6.5,6.5,6.5
Bangchan & Hyunjin,1,9.5,9.5,9.5,9.5,9.5
Bibi,1,5.5,5.5,5.5,5.5,5.5
BigBang,4,3.0,2.0,5.0,2.5,2.0
BlackPink,14,4.46,0.5,6.0,5.0,5.0
Block B,2,2.5,2.0,3.0,2.5,2.0
BoyNextDoor,2,5.25,4.0,6.5,5.25,4.0
Brave Girls,1,7.0,7.0,7.0,7.0,7.0
Bus,1,5.0,5.0,5.0,5.0,5.0
CIX,1,5.0,5.0,5.0,5.0,5.0
Chung Ha,1,4.0,4.0,4.0,4.0,4.0
Cnblue,1,6.0,6.0,6.0,6.0,6.0
Cravity,1,8.5,8.5,8.5,8.5,8.5
Day6,3,8.83,7.5,10.0,9.0,7.5
Dongkiz,1,6.0,6.0,6.0,6.0,6.0
Dreamcatcher,7,9.71,9.0,10.0,10.0,10.0
Enhypen,10,7.75,5.5,10.0,7.25,7.0
Eric Nam,1,6.0,6.0,6.0,6.0,6.0
Everglow,6,5.25,3.0,7.0,5.5,3.0
Exid,1,5.0,5.0,5.0,5.0,5.0
Exo,5,3.9,3.0,5.5,4.0,3.0
Fifty fifty,1,9.0,9.0,9.0,9.0,9.0
Ftisland,1,6.0,6.0,6.0,6.0,6.0
GOT the beat,1,5.0,5.0,5.0,5.0,5.0
Gfriend,1,7.0,7.0,7.0,7.0,7.0
Girls' Generation,3,3.83,3.0,4.5,4.0,3.0
Got7,5,5.1,3.0,7.0,5.0,5.0
Huh Yunjin,1,4.0,4.0,4.0,4.0,4.0
Hwa Sa,2,5.5,5.0,6.0,5.5,5.0
Illit,1,9.5,9.5,9.5,9.5,9.5
Irene & Seulgi,1,3.0,3.0,3.0,3.0,3.0
Itzy,6,5.08,4.0,7.5,4.5,4.0
Ive,7,5.36,4.0,7.5,5.0,5.0
Iz*one,4,4.25,2.0,6.0,4.5,2.0
J-Hope,1,0.0,0.0,0.0,0.0,0.0
Jackson Wang,1,6.5,6.5,6.5,6.5,6.5
Jennie,2,3.0,3.0,3.0,3.0,3.0
Jeon somi,2,5.0,3.0,7.0,5.0,3.0
Jihyo,1,4.0,4.0,4.0,4.0,4.0
Jimin,3,7.67,5.0,10.0,8.0,5.0
Jisoo,1,3.0,3.0,3.0,3.0,3.0
Jung Kook,3,7.67,5.0,10.0,8.0,5.0
Just B,1,4.0,4.0,4.0,4.0,4.0
Kai,1,6.0,6.0,6.0,6.0,6.0
