Episode,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
1,22,5.95,2.0,10.0,6.0,7.0
2,22,6.48,2.0,10.0,6.0,10.0
3,22,6.18,2.0,10.0,6.0,5.0
4,22,6.14,1.0,10.0,6.0,6.0
5,22,4.89,0.5,10.0,5.0,0.5
6,22,6.23,2.0,10.0,5.25,4.0
7,22,6.16,1.0,10.0,7.0,7.0
8,22,5.18,1.0,9.0,5.0,5.0
9,22,5.0,0.5,10.0,5.0,5.0
10,22,5.57,1.0,10.0,5.5,5.0
11,22,4.84,0.0,10.0,5.0,4.0
12,22,5.11,1.0,10.0,5.0,5.0
13,22,5.32,1.0,9.0,5.25,5.0
14,22,4.57,0.0,10.0,5.0,5.0
15,22,5.32,1.0,10.0,5.0,4.0
16,22,4.77,1.0,9.5,5.0,5.0
17,22,4.82,0.0,10.0,4.0,3.0
18,22,5.93,2.0,10.0,6.0,6.0
19,22,7.34,4.0,10.0,7.25,10.0
20,22,6.25,2.0,10.0,6.0,5.0
