Ambiance_principale,Ambiance_secondaire,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
Atypique,Atypique,22,7.89,3.0,10.0,8.0,10.0
Atypique,Calme,7,8.36,7.0,9.0,8.5,9.0
Atypique,Dansant,41,7.9,4.0,10.0,8.0,10.0
Atypique,Sombre,6,9.08,7.5,10.0,9.25,10.0
Atypique,Épique,22,7.93,6.0,10.0,8.0,7.0
Calme,Atypique,17,7.94,5.0,10.0,8.0,8.0
Calme,Calme,33,8.27,3.0,10.0,9.0,10.0
Calme,Dansant,47,8.55,5.0,10.0,9.0,10.0
Calme,Sombre,11,8.45,6.0,10.0,8.5,10.0
Calme,Épique,12,8.13,4.0,10.0,8.0,8.0
Dansant,Atypique,37,8.12,1.0,10.0,8.0,10.0
Dansant,Calme,16,7.97,5.0,10.0,8.0,8.0
Dansant,Dansant,36,8.39,4.0,10.0,8.75,10.0
Dansant,Sombre,9,8.83,7.0,10.0,9.0,10.0
Dansant,Épique,31,8.23,5.0,10.0,8.0,10.0
Sombre,Atypique,9,8.44,6.0,10.0,9.0,10.0
Sombre,Calme,5,8.9,7.0,10.0,10.0,10.0
Sombre,Dansant,3,8.0,7.0,10.0,7.0,7.0
Sombre,Sombre,2,9.75,9.5,10.0,9.75,9.5
Sombre,Épique,13,8.85,7.5,10.0,9.0,9.0
Épique,Atypique,10,8.1,6.0,10.0,8.25,9.0
Épique,Calme,4,8.25,6.0,10.0,8.5,6.0
Épique,Dansant,24,8.52,6.5,10.0,8.0,10.0
Épique,Sombre,19,8.16,6.0,10.0,8.0,8.0
Épique,Épique,4,8.75,7.0,10.0,9.0,9.0
