Annee,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
2009,4,8.38,6.0,10.0,8.75,6.0
2010,1,7.0,7.0,7.0,7.0,7.0
2011,6,7.67,6.0,9.0,8.0,9.0
2012,5,8.3,7.0,9.0,9.0,9.0
2013,5,8.3,7.5,9.0,8.0,8.0
2014,7,8.86,7.0,10.0,9.0,10.0
2015,16,9.25,7.0,10.0,10.0,10.0
2016,15,9.13,7.0,10.0,9.0,9.0
2017,24,9.29,7.5,10.0,10.0,10.0
2018,35,8.67,4.0,10.0,9.0,10.0
2019,49,9.09,4.0,10.0,10.0,10.0
2020,55,8.55,3.0,10.0,9.0,10.0
2021,32,7.86,4.0,10.0,8.0,10.0
2022,40,7.85,1.0,10.0,8.0,8.0
2023,85,7.58,3.0,10.0,8.0,8.0
2024,61,7.68,3.0,10.0,7.5,8.0
