Artiste,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
(G)I-dle,9,8.17,6.0,10.0,8.0,7.0
2 PM,1,8.0,8.0,8.0,8.0,8.0
2Ne1,2,9.5,9.0,10.0,9.5,9.0
4Minute,1,10.0,10.0,10.0,10.0,10.0
8Turn,2,7.5,7.0,8.0,7.5,7.0
AB6IX,1,10.0,10.0,10.0,10.0,10.0
Aespa,8,6.94,6.0,9.0,6.75,6.0
Agust D,2,8.5,7.0,10.0,8.5,7.0
AleXa,1,7.0,7.0,7.0,7.0,7.0
Ampers&one,1,8.0,8.0,8.0,8.0,8.0
Astro,1,10.0,10.0,10.0,10.0,10.0
Ateez,14,9.0,6.5,10.0,9.5,10.0
B.A.P,2,8.0,7.0,9.0,8.0,7.0
BTS,37,7.55,3.0,10.0,8.0,8.0
BabyMonster,4,8.25,7.5,10.0,7.75,7.5
Badvillain,1,8.0,8.0,8.0,8.0,8.0
Bangchan & Hyunjin,1,7.0,7.0,7.0,7.0,7.0
Bibi,1,10.0,10.0,10.0,10.0,10.0
BigBang,4,8.13,6.0,9.5,8.5,6.0
BlackPink,14,8.0,5.0,9.5,8.0,8.0
Block B,2,10.0,10.0,10.0,10.0,10.0
BoyNextDoor,2,6.5,6.5,6.5,6.5,6.5
Brave Girls,1,10.0,10.0,10.0,10.0,10.0
Bus,1,7.0,7.0,7.0,7.0,7.0
CIX,1,10.0,10.0,10.0,10.0,10.0
Chung Ha,1,10.0,10.0,10.0,10.0,10.0
Cnblue,1,6.0,6.0,6.0,6.0,6.0
Cravity,1,7.5,7.5,7.5,7.5,7.5
Day6,3,10.0,10.0,10.0,10.0,10.0
Dongkiz,1,8.0,8.0,8.0,8.0,8.0
Dreamcatcher,7,9.57,8.0,10.0,10.0,10.0
Enhypen,10,9.8,9.0,10.0,10.0,10.0
Eric Nam,1,10.0,10.0,10.0,10.0,10.0
Everglow,6,8.17,7.0,10.0,8.0,7.0
Exid,1,10.0,10.0,10.0,10.0,10.0
Exo,5,9.5,8.5,10.0,10.0,10.0
Fifty fifty,1,9.0,9.0,9.0,9.0,9.0
Ftisland,1,9.0,9.0,9.0,9.0,9.0
GOT the beat,1,6.0,6.0,6.0,6.0,6.0
Gfriend,1,10.0,10.0,10.0,10.0,10.0
Girls' Generation,3,7.67,7.0,9.0,7.0,7.0
Got7,5,9.8,9.0,10.0,10.0,10.0
Huh Yunjin,1,8.0,8.0,8.0,8.0,8.0
Hwa Sa,2,9.0,8.0,10.0,9.0,8.0
Illit,1,9.0,9.0,9.0,9.0,9.0
Irene & Seulgi,1,8.5,8.5,8.5,8.5,8.5
Itzy,6,7.08,6.0,9.0,7.0,7.0
Ive,7,7.79,6.0,9.0,8.0,8.0
Iz*one,4,8.88,8.5,9.0,9.0,9.0
