Compagnie,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
88rising,1,10.0,10.0,10.0,10.0,10.0
AAP Entertainment,1,9.0,9.0,9.0,9.0,9.0
ADOR,6,9.5,7.0,10.0,10.0,10.0
AOMG,1,10.0,10.0,10.0,10.0,10.0
BELIFT LAB,1,9.0,9.0,9.0,9.0,9.0
BPM,1,8.0,8.0,8.0,8.0,8.0
BPM Entertainment,1,8.0,8.0,8.0,8.0,8.0
Banana Culture Entertainment,1,10.0,10.0,10.0,10.0,10.0
Belift Lab,10,9.8,9.0,10.0,10.0,10.0
BigHit Entertainment,62,7.5,3.0,10.0,7.5,8.0
BlockBerryCreative,2,7.25,6.5,8.0,7.25,6.5
Bluedot Entertainment,1,7.0,7.0,7.0,7.0,7.0
Brand New Music,1,10.0,10.0,10.0,10.0,10.0
Brave Entertainment,2,8.75,7.5,10.0,8.75,7.5
C9 Entertainment,1,10.0,10.0,10.0,10.0,10.0
CJ ENM,1,10.0,10.0,10.0,10.0,10.0
CJeS Entertainment,1,10.0,10.0,10.0,10.0,10.0
CTDE&M,1,8.0,8.0,8.0,8.0,8.0
CUBE Entertainment,15,8.43,6.0,10.0,9.0,7.0
Cre.ker Entertainment,1,10.0,10.0,10.0,10.0,10.0
Dongyo,1,8.0,8.0,8.0,8.0,8.0
Dreamcatcher Company,7,9.57,8.0,10.0,10.0,10.0
FNC Entertainment,12,8.54,6.0,10.0,8.5,8.0
Fantagio,1,10.0,10.0,10.0,10.0,10.0
GF Entertainment,1,7.0,7.0,7.0,7.0,7.0
High Up Entertainment,3,7.33,6.0,8.0,8.0,8.0
J&Star Entertainment,2,8.5,8.0,9.0,8.5,8.0
JYP Entertainment,84,8.18,4.0,10.0,8.0,10.0
Jellyfish Entertainment,1,10.0,10.0,10.0,10.0,10.0
KONNECT Entertainment,1,6.0,6.0,6.0,6.0,6.0
KOZ Entertainment,2,6.5,6.5,6.5,6.5,6.5
KQ Entertainment,16,8.84,6.5,10.0,9.0,10.0
MLD Entertainment,2,7.25,7.0,7.5,7.25,7.0
MNH Entertainment,3,8.33,7.0,10.0,8.0,7.0
Makeus Entertainment,3,8.83,8.0,10.0,8.5,8.0
Mystic Story,2,10.0,10.0,10.0,10.0,10.0
ONE HUNDRED ,2,9.0,8.0,10.0,9.0,8.0
Off The Record Entertainment,4,8.88,8.5,9.0,9.0,9.0
Play M Entertainment,2,9.25,8.5,10.0,9.25,8.5
Pledis Entertainment,19,9.39,7.5,10.0,10.0,10.0
RBW,9,9.11,6.0,10.0,10.0,10.0
S2 Entertainment,2,6.0,5.0,7.0,6.0,5.0
SM Entertainment,51,8.22,5.0,10.0,8.5,10.0
Schnauzer Boulangerie,1,7.0,7.0,7.0,7.0,7.0
Seven Seasons,2,10.0,10.0,10.0,10.0,10.0
Source Music,9,8.11,6.0,10.0,8.0,9.0
Starship Entertainment,10,8.2,6.0,10.0,8.0,8.0
TADA Labels,1,7.0,7.0,7.0,7.0,7.0
TOP Media,1,10.0,10.0,10.0,10.0,10.0
TS Entertainment,2,8.0,7.0,9.0,8.0,7.0
Team Wang,1,9.0,9.0,9.0,9.0,9.0
The Black Label,2,8.5,8.0,9.0,8.5,8.0
WAKEONE,3,8.67,8.0,10.0,8.0,8.0
WM Entertainment,1,8.5,8.5,8.5,8.5,8.5
Wake One Entertainment,2,7.75,7.5,8.0,7.75,7.5
Waterbomb,2,5.25,3.0,7.5,5.25,3.0
XGALX,1,8.0,8.0,8.0,8.0,8.0
YG Entertainment,49,7.79,1.0,10.0,8.0,8.0
YMC Entertainment,3,10.0,10.0,10.0,10.0,10.0
Yuehua Entertainment,7,8.14,7.0,10.0,8.0,7.0
ZB Label,1,7.0,7.0,7.0,7.0,7.0
Sans compagnie,1,4.0,4.0,4.0,4.0,4.0
