Episode,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
1,22,8.07,1.0,10.0,9.0,10.0
2,22,7.45,3.0,10.0,8.0,7.5
3,22,7.39,3.0,10.0,7.5,8.0
4,22,8.14,5.0,10.0,8.25,10.0
5,22,8.27,5.5,10.0,8.0,10.0
6,22,8.05,5.0,10.0,8.0,10.0
7,22,8.86,7.0,10.0,9.0,9.0
8,22,8.43,4.0,10.0,8.5,10.0
9,22,8.64,7.0,10.0,8.0,10.0
10,22,8.3,6.0,10.0,8.0,8.0
11,22,8.14,4.0,10.0,8.25,10.0
12,22,8.25,4.0,10.0,8.5,10.0
13,22,8.57,4.0,10.0,9.0,10.0
14,22,8.68,6.0,10.0,9.0,10.0
15,22,8.5,6.0,10.0,9.0,10.0
16,22,8.36,6.0,10.0,8.0,10.0
17,22,8.11,5.0,10.0,8.0,8.0
18,22,8.68,6.0,10.0,9.0,10.0
19,22,8.27,3.0,10.0,8.0,10.0
20,22,8.18,5.0,10.0,8.5,10.0
