Numero,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
1,20,8.25,6.0,10.0,8.0,8.0
2,20,8.18,6.0,10.0,8.25,9.0
3,20,7.83,4.0,10.0,7.75,10.0
4,20,8.38,6.0,10.0,9.0,9.0
5,20,8.47,6.0,10.0,8.0,8.0
6,20,8.1,4.0,10.0,8.0,10.0
7,20,8.8,3.0,10.0,9.25,10.0
8,20,8.25,3.0,10.0,8.5,7.0
9,20,8.7,6.0,10.0,9.0,10.0
10,20,7.78,6.0,10.0,8.0,8.0
11,20,8.28,4.0,10.0,8.0,10.0
12,20,8.13,5.0,10.0,8.25,10.0
13,20,8.35,6.0,10.0,8.25,10.0
14,20,8.03,4.0,10.0,8.0,10.0
15,20,8.2,6.0,10.0,8.0,8.0
16,20,8.07,3.0,10.0,9.0,10.0
17,20,8.53,6.0,10.0,9.0,10.0
18,20,8.55,4.0,10.0,10.0,10.0
19,20,8.47,5.0,10.0,8.5,9.0
20,20,8.4,5.5,10.0,9.0,9.0
21,20,7.97,4.0,10.0,8.0,10.0
22,20,8.18,1.0,10.0,8.25,10.0
