Artiste,Generation,Compagnie,Sexe,Taille,Nombre_de_titres,Moyenne_Nouveaux_fans,Moyenne_Anciens_fans,Moyenne_Totale
(G)I-dle,4,CUBE Entertainment,Fille,Groupe,9,4.03,7.64,5.83
2 PM,2,JYP Entertainment,Gars,Groupe,1,2.5,6.0,4.25
2Ne1,2,YG Entertainment,Fille,Groupe,2,2.38,9.13,5.75
4Minute,2,CUBE Entertainment,Fille,Groupe,1,3.5,10.0,6.75
8Turn,5,MNH Entertainment,Gars,Groupe,2,5.13,7.13,6.13
AB6IX,4,Brand New Music,Gars,Groupe,1,4.0,10.0,7.0
Aespa,4,SM Entertainment,Fille,Groupe,8,5.5,6.38,5.94
Agust D,3,BigHit Entertainment,Gars,Solo,2,2.75,6.25,4.5
AleXa,4,ZB Label,Fille,Solo,1,7.0,6.5,6.75
Ampers&one,5,FNC Entertainment,Gars,Groupe,1,4.75,7.0,5.88
Astro,3,Fantagio,Gars,Groupe,1,7.0,9.75,8.38
Ateez,4,KQ Entertainment,Gars,Groupe,14,7.64,8.09,7.87
B.A.P,2,TS Entertainment,Gars,Groupe,2,5.88,6.75,6.31
BTS,3,BigHit Entertainment,Gars,Groupe,37,4.96,6.77,5.86
BabyMonster,5,YG Entertainment,Fille,Groupe,4,4.75,5.75,5.25
Badvillain,5,BPM,Fille,Groupe,1,6.0,7.0,6.5
Bangchan & Hyunjin,4,JYP Entertainment,Gars,Duo,1,9.0,4.5,6.75
Bibi,4,88rising,Fille,Solo,1,5.75,10.0,7.88
BigBang,2,YG Entertainment,Gars,Groupe,4,3.06,8.31,5.69
BlackPink,3,YG Entertainment,Fille,Groupe,14,5.41,7.07,6.24
Block B,2,Seven Seasons,Gars,Groupe,2,3.25,9.5,6.38
BoyNextDoor,5,KOZ Entertainment,Gars,Groupe,2,5.88,6.88,6.38
Brave Girls,3,Brave Entertainment,Fille,Groupe,1,3.25,10.0,6.63
Bus,5,TADA Labels,Gars,Groupe,1,6.5,6.5,6.5
CIX,4,C9 Entertainment,Gars,Groupe,1,4.25,9.0,6.63
Chung Ha,3,MNH Entertainment,Fille,Solo,1,5.0,10.0,7.5
Cnblue,2,FNC Entertainment,Gars,Groupe,1,4.5,5.5,5.0
Cravity,4,Starship Entertainment,Gars,Groupe,1,7.25,7.5,7.38
Day6,3,JYP Entertainment,Gars,Groupe,3,7.0,9.83,8.42
Dongkiz,4,Dongyo,Gars,Groupe,1,6.0,7.5,6.75
Dreamcatcher,3,Dreamcatcher Company,Fille,Groupe,7,8.93,8.93,8.93
Enhypen,4,Belift Lab,Gars,Groupe,10,6.68,8.3,7.49
Eric Nam,3,CJeS Entertainment,Gars,Solo,1,4.0,10.0,7.0
Everglow,4,Yuehua Entertainment,Fille,Groupe,6,5.96,7.67,6.81
Exid,2,Banana Culture Entertainment,Fille,Groupe,1,3.0,10.0,6.5
Exo,3,SM Entertainment,Gars,Groupe,5,4.7,8.8,6.75
Fifty fifty,4,AAP Entertainment,Fille,Groupe,1,2.75,6.5,4.63
Ftisland,2,FNC Entertainment,Gars,Groupe,1,4.5,7.75,6.13
