Compagnie,Nombre_de_titres,Moyenne_Nouveaux_fans,Moyenne_Anciens_fans,Moyenne_Totale
88rising,1,5.75,10.0,7.88
AAP Entertainment,1,2.75,6.5,4.63
ADOR,6,2.29,7.54,4.92
AOMG,1,4.25,9.0,6.63
BELIFT LAB,1,2.75,8.5,5.63
BPM,1,6.0,7.0,6.5
BPM Entertainment,1,5.0,7.0,6.0
Banana Culture Entertainment,1,3.0,10.0,6.5
Belift Lab,10,6.68,8.3,7.49
BigHit Entertainment,62,5.12,6.47,5.79
BlockBerryCreative,2,4.63,6.5,5.56
Bluedot Entertainment,1,4.25,7.0,5.63
Brand New Music,1,4.0,10.0,7.0
Brave Entertainment,2,4.38,8.63,6.5
C9 Entertainment,1,4.25,9.0,6.63
CJ ENM,1,5.75,10.0,7.88
CJeS Entertainment,1,4.0,10.0,7.0
CTDE&M,1,6.5,7.25,6.88
CUBE Entertainment,15,4.55,8.32,6.43
Cre.ker Entertainment,1,4.5,9.25,6.88
Dongyo,1,6.0,7.5,6.75
Dreamcatcher Company,7,8.93,8.93,8.93
FNC Entertainment,12,5.13,8.23,6.68
Fantagio,1,7.0,9.75,8.38
GF Entertainment,1,7.0,7.25,7.13
High Up Entertainment,3,2.25,5.75,4.0
J&Star Entertainment,2,7.88,7.5,7.69
JYP Entertainment,84,6.72,7.39,7.05
Jellyfish Entertainment,1,3.5,10.0,6.75
KONNECT Entertainment,1,3.5,8.0,5.75
KOZ Entertainment,2,5.88,6.88,6.38
KQ Entertainment,16,7.55,7.97,7.76
MLD Entertainment,2,2.5,6.38,4.44
MNH Entertainment,3,5.08,8.08,6.58
Makeus Entertainment,3,4.0,9.08,6.54
Mystic Story,2,7.75,8.88,8.31
ONE HUNDRED ,2,7.0,8.25,7.63
Off The Record Entertainment,4,3.63,8.0,5.81
Play M Entertainment,2,5.88,7.13,6.5
Pledis Entertainment,19,5.17,8.47,6.82
RBW,9,6.08,8.78,7.43
S2 Entertainment,2,4.75,5.25,5.0
SM Entertainment,51,4.1,7.75,5.92
Schnauzer Boulangerie,1,0.5,6.0,3.25
Seven Seasons,2,3.25,9.5,6.38
Source Music,9,4.0,6.86,5.43
Starship Entertainment,10,5.25,6.13,5.69
TADA Labels,1,6.5,6.5,6.5
TOP Media,1,4.75,9.5,7.13
TS Entertainment,2,5.88,6.75,6.31
Team Wang,1,5.0,9.0,7.0
The Black Label,2,4.88,8.25,6.56
WAKEONE,3,5.42,7.17,6.29
WM Entertainment,1,4.5,9.25,6.88
Wake One Entertainment,2,2.25,6.63,4.44
Waterbomb,2,6.5,5.75,6.13
XGALX,1,4.0,8.75,6.38
YG Entertainment,49,4.53,6.89,5.71
YMC Entertainment,3,3.92,9.5,6.71
Yuehua Entertainment,7,6.25,7.64,6.95
ZB Label,1,7.0,6.5,6.75
Sans compagnies,1,4.0,5.5,4.75
