Nombre,Annee,Episode,Titre,Artiste,Sexe,Generation,Taille,Compagnie,Type,Groupe
1,2014,1,War of hormones,BTS,Gars,3,Groupe,BigHit Entertainment,B-side,
2,2017,1,Hellevator,Stray Kids,Gars,4,Groupe,JYP Entertainment,Pre-debut,
3,2018,1,Latata,I-dle,Fille,4,Groupe,CUBE Entertainment,Debut,
4,2016,1,Monster,Exo,Gars,3,Groupe,SM Entertainment,Main Track,
5,2023,1,Crazy form,Ateez,Gars,4,Groupe,KQ Entertainment,B-side,
6,2018,1,Solo,Jennie,Fille,3,Solo,YG Entertainment,Single,BlackPink
7,2017,1,Beautiful,Wanna one,Gars,3,Groupe,YMC Entertainment,Main Track,
8,2021,1,Red lights,Bang Chan & Hyunjin,Gars,4,Duo,JYP Entertainment,B-side,Stray Kids
9,2020,1,Scream,Dreamcatcher,Fille,3,Groupe,Dreamcatcher Company,Main Track,
10,2016,1,Save me,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
11,2023,1,Fact check,NCT 127,Gars,4,Groupe,SM Entertainment,Main Track,NCT
12,2018,1,Ddu-du-ddu-du,BlackPink,Fille,3,Groupe,YG Entertainment,Main Track,
13,2016,1,Agust D,Agust D,Gars,3,Solo,BigHit Entertainment,Single,BTS
14,2021,1,Loser=Lover,TXT,Gars,4,Groupe,BigHit Entertainment,Main Track,
15,2020,1,Maria,Hwa Sa,Fille,3,Solo,RBW,Main Track,Mamamoo
16,2015,1,Run,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
17,2021,1,Loco,Itzy,Fille,4,Groupe,JYP Entertainment,Main Track,
18,2021,1,Fever,Enhypen,Gars,4,Groupe,Belift Lab,B-side,
19,2019,1,Miroh,Stray Kids,Gars,4,Groupe,JYP Entertainment,Main Track,
20,2023,1,One spark,Twice,Fille,3,Groupe,JYP Entertainment,Single,
21,2021,1,Rock with you,Seventeen,Gars,3,Groupe,Pledis Entertainment,Main Track,
22,2022,1,That that,Psy & Suga,Gars,2,Duo,/Null/,Single,Psy
23,2012,2,Fantastic baby,BigBang,Gars,2,Groupe,YG Entertainment,Main Track,
24,2023,2,Drama,Aespa,Fille,4,Groupe,SM Entertainment,Main Track,
25,2023,2,Super,Seventeen,Gars,3,Groupe,Pledis Entertainment,Main Track,
26,2023,2,Maniac,Stray Kids,Gars,4,Groupe,JYP Entertainment,Main Track,
27,2022,2,Antifragile,Le Sserafim,Fille,4,Groupe,Source Music,Main Track,
28,2013,2,N.O,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
29,2023,2,Seven,Jung Kook,Gars,3,Solo,BigHit Entertainment,Single,BTS
30,2020,2,How you like that,BlackPink,Fille,3,Groupe,YG Entertainment,Main Track,
31,2018,2,District 9,Stray Kids,Gars,4,Groupe,JYP Entertainment,Debut,
32,2018,2,Love shot,Exo,Gars,3,Groupe,SM Entertainment,Main Track,
33,2023,2,Soñar,Nmixx,Fille,4,Groupe,JYP Entertainment,Single,
34,2020,2,Inception,Ateez,Gars,4,Groupe,KQ Entertainment,Main Track,
35,2023,2,Sweet venom,Enhypen,Gars,4,Groupe,Belift Lab,Main Track,
36,2021,2,Lalisa,Lisa,Fille,3,Solo,YG Entertainment,Single,BlackPink
37,2021,2,Thunderous,Stray Kids,Gars,4,Groupe,JYP Entertainment,Main Track,
38,2023,2,You & Me,Jennie,Fille,3,Solo,YG Entertainment,Single,BlackPink
39,2018,2,Idol,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
40,2020,2,Boca,Dreamcatcher,Fille,3,Groupe,Dreamcatcher Company,Main Track,
41,2023,2,Back for more,TXT,Gars,4,Groupe,BigHit Entertainment,Single,
42,2023,2,Set me free,Jimin,Gars,3,Solo,BigHit Entertainment,Single,BTS
43,2023,2,I am,Ive,Fille,4,Groupe,Starship Entertainment,Main Track,
44,2017,2,Not today,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
45,2018,3,Love scenario,iKon,Gars,2,Groupe,YG Entertainment,Main Track,
46,2020,3,Black mamba,Aespa,Fille,4,Groupe,SM Entertainment,Debut,
47,2023,3,The sound,Stray Kids,Gars,4,Groupe,JYP Entertainment,Main Track,
48,2023,3,Born to be,Itzy,Fille,4,Groupe,JYP Entertainment,Main Track,
49,2023,3,Move,T5,Gars,4,Groupe,YG Entertainment,Single,Treasure
50,2023,3,Batter up,BabyMonster,Fille,5,Groupe,YG Entertainment,Debut,
51,2015,3,If you do,Got7,Gars,3,Groupe,JYP Entertainment,Main Track,
52,2020,3,Stay gold,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
53,2021,3,Money,Lisa,Fille,3,Solo,YG Entertainment,Single,BlackPink
54,2022,3,Good boy gone bad,TXT,Gars,4,Groupe,BigHit Entertainment,Main Track,
55,2023,3,Megaverse,Stray Kids,Gars,4,Groupe,JYP Entertainment,B-side,
56,2023,3,Flower,Jisoo,Fille,3,Solo,YG Entertainment,Single,BlackPink
57,2016,3,Fire,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
58,2023,3,Standing next to you,Jung Kook,Gars,3,Solo,BigHit Entertainment,Single,BTS
59,2020,3,Dun dun,Everglow,Fille,4,Groupe,Yuehua Entertainment,Main Track,
60,2023,3,Fighting,BSS,Gars,3,Groupe,Pledis Entertainment,Main Track,Seventeen
61,2010,3,Run devil run,Girls' Generation,Fille,2,Groupe,SM Entertainment,Main Track,
62,2017,3,MIC drop,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
63,2023,3,Bouncy,Ateez,Gars,4,Groupe,KQ Entertainment,Main Track,
64,2022,3,Pink venom,BlackPink,Fille,3,Groupe,YG Entertainment,Main Track,
65,2020,3,Back door,Stray Kids,Gars,4,Groupe,JYP Entertainment,Main Track,
66,2021,3,Drunk-Dazed,Enhypen,Gars,4,Groupe,Belift Lab,Main Track,
67,2020,4,Odd eye,Dreamcatcher,Fille,3,Groupe,Dreamcatcher Company,Main Track,
68,2021,4,Butter,BTS,Gars,3,Groupe,BigHit Entertainment,Single,
69,2023,4,3D,Jung Kook,Gars,3,Solo,BigHit Entertainment,Single,BTS
70,2019,4,Kill this love,BlackPink,Fille,3,Groupe,YG Entertainment,Main Track,
71,2023,4,Social path,Stray Kids & LiSA,Mixte,4,Groupe,/Null/,Main Track,Stray Kids
72,2023,4,Rover,Kai,Gars,3,Solo,SM Entertainment,Single,EXO
73,2024,4,Magnetic,Illit,Fille,4,Groupe,BELIFT LAB,Debut,
74,2015,4,Bang bang bang,BigBang,Gars,2,Groupe,YG Entertainment,Main Track,
75,2023,4,Chasing that feeling,TXT,Gars,4,Groupe,BigHit Entertainment,Main Track,
76,2024,4,Supernova,Aespa,Fille,4,Groupe,SM Entertainment,Main Track,
77,2015,4,I need U,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
78,2023,4,Super lady,I-dle,Fille,4,Groupe,CUBE Entertainment,Main Track,
79,2023,4,Topline,Stray Kids,Gars,4,Groupe,JYP Entertainment,B-side,
80,2019,4,Wonderland,Ateez,Gars,4,Groupe,KQ Entertainment,Main Track,
81,2024,4,Smart,Le Sserafim,Fille,4,Groupe,Source Music,B-side,
82,2018,4,Way back home,Shaun,Gars,3,Solo,AOMG,Single,
83,2021,4,Jikjin,Treasure,Gars,4,Groupe,YG Entertainment,Main Track,
84,2024,4,Abcd,Nayeon,Fille,3,Solo,JYP Entertainment,Single,Twice
85,2019,4,On,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
86,2024,4,Maestro,Seventeen,Gars,3,Groupe,Pledis Entertainment,Main Track,
87,2024,4,Rockstar,Lisa,Fille,3,Solo,YG Entertainment,Single,BlackPink
88,2023,4,Lalalala,Stray Kids,Gars,4,Groupe,JYP Entertainment,Main Track,
89,2011,5,I am the best,2NE1,Fille,2,Groupe,YG Entertainment,Main Track,
90,2017,5,Dramarama,Monsta X,Gars,3,Groupe,Starship Entertainment,Main Track,
91,2023,5,Like crazy,Jimin,Gars,3,Solo,BigHit Entertainment,Single,BTS
92,2018,5,What is love?,Twice,Fille,3,Groupe,JYP Entertainment,Main Track,
93,2020,5,God's menu,Stray Kids,Gars,4,Groupe,JYP Entertainment,Main Track,
94,2024,5,Plot twist,TWS,Gars,5,Groupe,Pledis Entertainment,Debut,
95,2023,5,Queencard,I-dle,Fille,4,Groupe,CUBE Entertainment,Main Track,
96,2017,5,Spring day,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
97,2022,5,Hot,Seventeen,Gars,3,Groupe,Pledis Entertainment,Main Track,
98,2023,5,Eta,NewJeans,Fille,4,Groupe,ADOR,Main Track,
99,2024,5,Lose my breath,Stray Kids,Gars,4,Groupe,JYP Entertainment,Main Track,
100,2023,5,Bona bona,Treasure,Gars,4,Groupe,YG Entertainment,Main Track,
101,2016,5,Colors,Stella Jang,Fille,3,Solo,Schnauzer Boulangerie,Single,
102,2014,5,Danger,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
103,2023,5,ISTJ,NCT Dream,Gars,4,Groupe,SM Entertainment,Main Track,NCT
104,2019,5,Psycho,Red Velvet,Fille,3,Groupe,SM Entertainment,Main Track,
105,2021,5,0X1=Lovesong,TXT & Seori,Mixte,4,Groupe,/Null/,Main Track,TXT
106,2021,5,Deja vu,Ateez,Gars,4,Groupe,KQ Entertainment,Main Track,
107,2023,5,Sheesh,BabyMonster,Fille,5,Groupe,YG Entertainment,Main Track,
108,2021,5,Permission to dance,BTS,Gars,3,Groupe,BigHit Entertainment,Single,
109,2024,5,Stray Kids,Stray Kids,Gars,4,Groupe,JYP Entertainment,B-side,
110,2022,5,Shut down,BlackPink,Fille,3,Groupe,YG Entertainment,Main Track,
111,2023,6,Get a guitar,Riize,Gars,5,Groupe,SM Entertainment,Debut,
112,2018,6,Fake love,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
113,2016,6,Boombayah,BlackPink,Fille,3,Groupe,YG Entertainment,Debut,
114,2024,6,Jjam,Stray Kids,Gars,4,Groupe,JYP Entertainment,B-side,
115,2023,6,Super shy,NewJeans,Fille,4,Groupe,ADOR,Main Track,
116,2023,6,Bite me,Enhypen,Gars,4,Groupe,Belift Lab,Main Track,
117,2016,6,Hard carry,Got7,Gars,3,Groupe,JYP Entertainment,Main Track,
118,2022,6,Bibi vengeance,Bibi,Fille,4,Solo,88rising,Single,
119,2023,6,Sugar rush ride,TXT,Gars,4,Groupe,BigHit Entertainment,Main Track,
120,2020,6,Dynamite,BTS,Gars,3,Groupe,BigHit Entertainment,Single,
121,2018,6,Bboom bboom,Momoland,Fille,3,Groupe,MLD Entertainment,Main Track,
122,2023,6,Killin'it,P1Harmony,Gars,4,Groupe,FNC Entertainment,Debut,
123,2024,6,Untouchable,Itzy,Fille,4,Groupe,JYP Entertainment,Main Track,
124,2024,6,Mountains,Stray Kids,Gars,4,Groupe,JYP Entertainment,B-side,
125,2022,6,Halazia,Ateez,Gars,4,Groupe,KQ Entertainment,Main Track,
126,2023,6,Bad news,Kiss of life,Fille,5,Groupe,S2 Entertainment,Main Track,
127,2020,6,Life goes on,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
128,2020,6,Left & Right,Seventeen,Gars,3,Groupe,Pledis Entertainment,Main Track,
129,2020,6,I can't stop me,Twice,Fille,3,Groupe,JYP Entertainment,Main Track,
130,2017,6,Really really,Winner,Gars,3,Groupe,YG Entertainment,Main Track,
131,2023,6,Heya,Ive,Fille,4,Groupe,Starship Entertainment,Main Track,
132,2024,6,Chk chk boom,Stray Kids,Gars,4,Groupe,JYP Entertainment,Main Track,
133,2023,7,OMG,NewJeans,Fille,4,Groupe,ADOR,Main Track,
134,2015,7,Just right,Got7,Gars,3,Groupe,JYP Entertainment,Main Track,
135,2018,7,My pace,Stray Kids,Gars,4,Groupe,JYP Entertainment,Main Track,
136,2024,7,Armageddon,Aespa,Fille,4,Groupe,SM Entertainment,Main Track,
137,2013,7,No more dream,BTS,Gars,3,Groupe,BigHit Entertainment,Debut,
138,2019,7,Run away,TXT,Gars,4,Groupe,BigHit Entertainment,Main Track,
139,2022,7,Love dive,Ive,Fille,4,Groupe,Starship Entertainment,Main Track,
140,2016,7,Very nice,Seventeen,Gars,3,Groupe,Pledis Entertainment,Main Track,
141,2019,7,Hip,Mamamoo,Fille,2,Groupe,RBW,Main Track,
142,2024,7,Work,Ateez,Gars,4,Groupe,KQ Entertainment,Main Track,
143,2018,7,Anpanman,BTS,Gars,3,Groupe,BigHit Entertainment,B-side,
144,2017,7,As if it's your last,BlackPink,Fille,3,Groupe,YG Entertainment,Single,
145,2021,7,Domino,Stray Kids,Gars,4,Groupe,JYP Entertainment,B-side,
146,2024,7,Forever,BabyMonster,Fille,5,Groupe,YG Entertainment,Main Track,
147,2024,7,XO,Enhypen,Gars,4,Groupe,Belift Lab,B-side,
148,2013,7,One shot,B.A.P,Gars,2,Groupe,TS Entertainment,Main Track,
149,2020,7,Wannabe,Itzy,Fille,4,Groupe,JYP Entertainment,Main Track,
150,2022,7,Darari,Treasure,Gars,4,Groupe,YG Entertainment,B-side,
151,2023,7,S-Class,Stray Kids,Gars,4,Groupe,JYP Entertainment,Main Track,
152,2012,7,Electric shock,f(x),Fille,2,Groupe,SM Entertainment,Main Track,
153,2019,7,Boy with luv,BTS & Halsey,Mixte,3,Groupe,/Null/,Main Track,BTS
154,2020,7,La di da,Everglow,Fille,4,Groupe,Yuehua Entertainment,Main Track,
155,2012,8,Gangnam style,Psy,Gars,2,Solo,YG Entertainment,Main Track,
156,2021,8,Christmas EveL,Stray Kids,Gars,4,Groupe,JYP Entertainment,Single,
157,2019,8,Fancy,Twice,Fille,3,Groupe,JYP Entertainment,Main Track,
158,2016,8,Blood sweat & tears,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
159,2022,8,Hello,Treasure,Gars,4,Groupe,YG Entertainment,Main Track,
160,2020,8,Pretty Savage,BlackPink,Fille,3,Groupe,YG Entertainment,B-side,
161,2019,8,Crown,TXT,Gars,4,Groupe,BigHit Entertainment,Debut,
162,2009,8,Ring ding dong,SHINee,Gars,2,Groupe,SM Entertainment,Main Track,
163,2024,8,Crazy,Le Sserafim,Fille,4,Groupe,Source Music,Main Track,
164,2022,8,Run BTS,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
165,2019,8,Zimzalabim,Red Velvet,Fille,3,Groupe,SM Entertainment,Main Track,
166,2019,8,Double knot,Stray Kids,Gars,4,Groupe,JYP Entertainment,Main Track,
167,2022,8,Guerrilla,Ateez,Gars,4,Groupe,KQ Entertainment,Main Track,
168,2021,8,Next level,Aespa,Fille,4,Groupe,SM Entertainment,Main Track,
169,2018,8,Boss,NCT U,Gars,4,Groupe,SM Entertainment,Main Track,NCT
170,2014,8,Mamacita,Super Junior,Gars,2,Groupe,SM Entertainment,Main Track,
171,2020,8,Panorama,Iz*one,Fille,4,Groupe,Off The Record Entertainment,Main Track,
172,2021,8,My universe,BTS & Coldplay,Gars,3,Groupe,/Null/,Main Track,BTS
173,2023,8,God of music,Seventeen,Gars,3,Groupe,Pledis Entertainment,Main Track,
174,2022,8,Hype boy,NewJeans,Fille,4,Groupe,ADOR,Main Track,
175,2022,8,Case 143,Stray Kids,Gars,4,Groupe,JYP Entertainment,Main Track,
176,2022,8,Polaroid love,Enhypen,Gars,4,Groupe,Belift Lab,B-side,
177,2024,9,Deja vu,TXT,Gars,4,Groupe,BigHit Entertainment,Main Track,
178,2020,9,Oh my god,I-dle,Fille,4,Groupe,CUBE Entertainment,Main Track,
179,2022,9,Charmer,Stray Kids,Gars,4,Groupe,JYP Entertainment,B-side,
180,2018,9,Shine,Pentagon,Gars,3,Groupe,CUBE Entertainment,Main Track,
181,2020,9,Lovesick girls,BlackPink,Fille,3,Groupe,YG Entertainment,Main Track,
182,2014,9,Boy in luv,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
183,2022,9,O.O,Nmixx,Fille,4,Groupe,JYP Entertainment,Debut,
184,2015,9,Young. wild & free,B.A.P,Gars,2,Groupe,TS Entertainment,Main Track,
185,2022,9,Venom,Stray Kids,Gars,4,Groupe,JYP Entertainment,B-side,
186,2022,9,Ditto,NewJeans,Fille,4,Groupe,ADOR,Main Track,
187,2020,9,Given-Taken,Enhypen,Gars,4,Groupe,Belift Lab,Debut,
188,2020,9,Black swan,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
189,2019,9,I'm so hot,Momoland,Fille,3,Groupe,MLD Entertainment,Main Track,
190,2017,9,Don't Wanna Cry,Seventeen,Gars,3,Groupe,Pledis Entertainment,Main Track,
191,2017,9,Red flavor,Red Velvet,Fille,3,Groupe,SM Entertainment,Main Track,
192,2024,9,I like it,Stray Kids,Gars,4,Groupe,JYP Entertainment,B-side,
193,2019,9,You calling my name,Got7,Gars,3,Groupe,JYP Entertainment,Main Track,
194,2022,9,After like,Ive,Fille,4,Groupe,Starship Entertainment,Main Track,
195,2019,9,Dionysus,BTS,Gars,3,Groupe,BigHit Entertainment,B-side,
196,2024,9,Easy,Le Sserafim,Fille,4,Groupe,Source Music,Main Track,
197,2019,9,Say my name,Ateez,Gars,4,Groupe,KQ Entertainment,Main Track,
198,2009,9,Sorry sorry,Super Junior,Gars,2,Groupe,SM Entertainment,Main Track,
199,2023,10,Cupid,Fifty fifty,Fille,4,Groupe,AAP Entertainment,Main Track,
200,2023,10,Get lit,Stray Kids,Gars,4,Groupe,JYP Entertainment,Main Track,
201,2019,10,Gogobebe,Mamamoo,Fille,2,Groupe,RBW,Main Track,
202,2018,10,Jump,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
203,2022,10,Wa da da,Kep1er,Fille,4,Groupe,Wake One Entertainment,Debut,
204,2024,10,Earth. Wind & Fire,BoyNextDoor,Gars,5,Groupe,KOZ Entertainment,Debut,
205,2020,10,Blue hour,TXT,Gars,4,Groupe,BigHit Entertainment,Main Track,
206,2011,10,The boys,Girls' Generation,Fille,2,Groupe,SM Entertainment,Main Track,
207,2020,10,The black cat Nero,Ateez,Gars,4,Groupe,KQ Entertainment,B-side,
208,2021,10,Cheese,Stray Kids,Gars,4,Groupe,JYP Entertainment,B-side,
209,2021,10,Eleven,Ive,Fille,4,Groupe,Starship Entertainment,Debut,
210,2013,10,We are bulletproof,BTS,Gars,3,Groupe,BigHit Entertainment,B-side,
211,2018,10,Lullaby,Got7,Gars,3,Groupe,JYP Entertainment,B-side,
212,2019,10,Bon bon chocolat,Everglow,Fille,4,Groupe,Yuehua Entertainment,Debut,
213,2024,10,Who,Jimin,Gars,3,Solo,BigHit Entertainment,Single,BTS
214,2019,10,Dalla dalla,Itzy,Fille,4,Groupe,JYP Entertainment,Debut,
215,2022,10,Cheers,SVT Leaders,Gars,3,Groupe,Pledis Entertainment,B-side,Seventeen
216,2022,10,Circus,Stray Kids,Gars,4,Groupe,JYP Entertainment,B-side,
217,2016,10,Playing with fire,BlackPink,Fille,3,Groupe,YG Entertainment,Main Track,
218,2017,10,DNA,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
219,2022,10,Girls,Aespa,Fille,4,Groupe,SM Entertainment,B-side,
220,2020,10,I love you,Treasure,Gars,4,Groupe,YG Entertainment,B-side,
221,2019,11,Make it right,BTS,Gars,3,Groupe,BigHit Entertainment,B-side,
222,2024,11,Midas touch,Kiss of life,Fille,5,Groupe,S2 Entertainment,Main Track,
223,2019,11,Chicken noodle soup,J-Hope,Gars,3,Solo,BigHit Entertainment,Single,BTS
224,2024,11,Boom boom bass,Riize,Gars,5,Groupe,SM Entertainment,Main Track,
225,2018,11,Forever young,BlackPink,Fille,3,Groupe,YG Entertainment,B-side,
226,2020,11,Can't you see me?,TXT,Gars,4,Groupe,BigHit Entertainment,B-side,
227,2015,11,Dope,BTS,Gars,3,Groupe,BigHit Entertainment,Main Track,
228,2023,11,Baddie,Ive,Fille,4,Groupe,Starship Entertainment,Single,
229,2019,11,Levanter,Stray Kids,Gars,4,Groupe,JYP Entertainment,B-side,
230,2020,11,Answer,Ateez,Gars,4,Groupe,KQ Entertainment,Main Track,
231,2011,11,Be my baby,Wonder Girls,Fille,2,Groupe,JYP Entertainment,Main Track,
232,2024,11,King kong,Treasure,Gars,4,Groupe,YG Entertainment,Single,
233,2020,11,Kick it,NCT 127,Gars,4,Groupe,SM Entertainment,Main Track,NCT
234,2023,11,Perfect night,Le Sserafim,Fille,4,Groupe,Source Music,Single,
235,2024,11,Slash,Stray Kids,Gars,4,Groupe,JYP Entertainment,OST/Opening/Ending,
236,2018,11,Boomerang,Wanna one,Gars,3,Groupe,YMC Entertainment,Main Track,
237,2023,11,Spicy,Aespa,Fille,4,Groupe,SM Entertainment,Main Track,
238,2017,11,Clap,Seventeen,Gars,3,Groupe,Pledis Entertainment,Main Track,
