Ambiance_principale,Ambiance_secondaire,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
Atypique,Atypique,22,4.75,0.0,9.0,4.5,4.5
Atypique,Calme,7,4.64,0.0,10.0,3.0,3.0
Atypique,Dansant,41,6.21,3.5,10.0,6.0,4.5
Atypique,Sombre,6,7.0,4.5,9.0,7.25,8.0
Atypique,Épique,22,7.25,3.0,10.0,7.0,7.0
Calme,Atypique,17,4.06,0.0,7.5,4.0,3.5
Calme,Calme,33,3.64,0.0,8.5,3.5,4.5
Calme,Dansant,47,5.19,1.0,10.0,4.5,4.5
Calme,Sombre,11,4.41,1.0,9.0,4.0,3.0
Calme,Épique,12,7.42,3.5,10.0,7.5,5.5
Dansant,Atypique,37,5.84,1.5,10.0,5.0,5.0
Dansant,Calme,16,5.66,0.5,8.5,5.75,4.0
Dansant,Dansant,36,5.93,1.0,10.0,5.5,5.0
Dansant,Sombre,9,7.0,4.5,9.0,7.5,7.5
Dansant,Épique,31,8.15,4.0,10.0,8.5,10.0
Sombre,Atypique,9,6.72,3.0,10.0,7.0,3.0
Sombre,Calme,5,8.4,6.0,10.0,9.0,9.0
Sombre,Dansant,3,8.5,7.5,10.0,8.0,7.5
Sombre,Sombre,2,7.25,5.0,9.5,7.25,5.0
Sombre,Épique,13,8.65,7.0,10.0,9.0,8.0
Épique,Atypique,10,8.55,5.5,10.0,9.25,10.0
Épique,Calme,4,7.38,5.5,10.0,7.0,5.5
Épique,Dansant,24,8.85,5.5,10.0,9.5,10.0
Épique,Sombre,19,8.87,7.0,10.0,9.0,9.0
Épique,Épique,4,8.63,6.5,10.0,9.0,10.0
