Annee,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
2009,4,3.25,2.0,5.0,3.0,3.0
2010,1,4.5,4.5,4.5,4.5,4.5
2011,6,3.67,0.5,5.5,4.0,4.0
2012,5,5.7,3.0,7.5,6.0,3.0
2013,5,8.0,4.0,10.0,9.0,9.0
2014,7,6.07,2.5,9.5,6.5,2.5
2015,16,5.56,1.0,10.0,6.0,6.0
2016,15,5.87,0.0,10.0,6.5,8.0
2017,24,5.71,2.0,10.0,5.25,2.0
2018,35,5.6,1.0,10.0,5.0,4.5
2019,49,6.72,0.0,10.0,7.0,7.0
2020,55,6.93,3.0,10.0,7.0,10.0
2021,32,6.7,0.0,10.0,8.0,9.0
2022,40,5.61,0.5,10.0,4.5,4.5
2023,85,6.65,0.0,10.0,7.0,10.0
2024,61,6.71,0.5,10.0,7.0,10.0
