Artiste,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
(G)I-dle,9,5.17,1.5,8.0,5.5,7.0
2 PM,1,3.0,3.0,3.0,3.0,3.0
2Ne1,2,4.0,2.5,5.5,4.0,2.5
4Minute,1,4.5,4.5,4.5,4.5,4.5
8Turn,2,7.25,6.5,8.0,7.25,6.5
AB6IX,1,4.5,4.5,4.5,4.5,4.5
Aespa,8,6.63,4.0,10.0,6.25,4.0
Agust D,2,4.5,3.0,6.0,4.5,3.0
AleXa,1,6.5,6.5,6.5,6.5,6.5
Ampers&one,1,8.0,8.0,8.0,8.0,8.0
Astro,1,9.0,9.0,9.0,9.0,9.0
Ateez,14,8.89,6.0,10.0,10.0,10.0
B.A.P,2,10.0,10.0,10.0,10.0,10.0
BTS,37,7.22,2.5,10.0,8.5,9.0
BabyMonster,4,6.13,4.0,7.5,6.5,4.0
Badvillain,1,7.0,7.0,7.0,7.0,7.0
Bangchan & Hyunjin,1,9.0,9.0,9.0,9.0,9.0
Bibi,1,8.0,8.0,8.0,8.0,8.0
BigBang,4,4.13,1.0,6.5,4.5,1.0
BlackPink,14,7.18,1.0,9.0,8.0,8.0
Block B,2,5.0,3.5,6.5,5.0,3.5
BoyNextDoor,2,7.0,4.0,10.0,7.0,4.0
Brave Girls,1,2.0,2.0,2.0,2.0,2.0
Bus,1,10.0,10.0,10.0,10.0,10.0
CIX,1,5.5,5.5,5.5,5.5,5.5
Chung Ha,1,8.0,8.0,8.0,8.0,8.0
Cnblue,1,4.5,4.5,4.5,4.5,4.5
Cravity,1,8.0,8.0,8.0,8.0,8.0
Day6,3,7.5,7.0,8.0,7.5,7.0
Dongkiz,1,5.5,5.5,5.5,5.5,5.5
Dreamcatcher,7,8.36,6.5,10.0,9.0,7.0
Enhypen,10,7.05,2.0,10.0,8.0,4.5
Eric Nam,1,4.0,4.0,4.0,4.0,4.0
Everglow,6,7.5,5.0,9.0,8.25,9.0
Exid,1,3.5,3.5,3.5,3.5,3.5
Exo,5,6.2,4.0,8.5,5.5,4.0
Fifty fifty,1,1.0,1.0,1.0,1.0,1.0
Ftisland,1,5.5,5.5,5.5,5.5,5.5
GOT the beat,1,4.0,4.0,4.0,4.0,4.0
Gfriend,1,2.0,2.0,2.0,2.0,2.0
Girls' Generation,3,4.0,3.5,4.5,4.0,3.5
Got7,5,5.4,2.5,9.5,5.0,2.5
Huh Yunjin,1,2.0,2.0,2.0,2.0,2.0
Hwa Sa,2,7.5,6.5,8.5,7.5,6.5
Illit,1,0.5,0.5,0.5,0.5,0.5
Irene & Seulgi,1,4.5,4.5,4.5,4.5,4.5
Itzy,6,7.42,4.0,9.5,8.75,9.0
Ive,7,5.43,3.0,8.5,4.5,3.5
Iz*one,4,3.63,3.0,4.0,3.75,4.0
J-Hope,1,0.0,0.0,0.0,0.0,0.0
Jackson Wang,1,4.5,4.5,4.5,4.5,4.5
Jennie,2,5.5,5.0,6.0,5.5,5.0
Jeon somi,2,5.75,4.5,7.0,5.75,4.5
Jihyo,1,5.0,5.0,5.0,5.0,5.0
Jimin,3,9.17,7.5,10.0,10.0,10.0
Jisoo,1,4.5,4.5,4.5,4.5,4.5
Jung Kook,3,7.5,7.0,8.0,7.5,7.0
Just B,1,5.5,5.5,5.5,5.5,5.5
Kai,1,7.5,7.5,7.5,7.5,7.5
