Compagnie,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
88rising,1,8.0,8.0,8.0,8.0,8.0
AAP Entertainment,1,1.0,1.0,1.0,1.0,1.0
ADOR,6,1.0,0.0,1.5,1.25,1.5
AOMG,1,3.0,3.0,3.0,3.0,3.0
BELIFT LAB,1,0.5,0.5,0.5,0.5,0.5
BPM,1,7.0,7.0,7.0,7.0,7.0
BPM Entertainment,1,3.5,3.5,3.5,3.5,3.5
Banana Culture Entertainment,1,3.5,3.5,3.5,3.5,3.5
Belift Lab,10,7.05,2.0,10.0,8.0,4.5
BigHit Entertainment,62,7.17,0.0,10.0,8.0,10.0
BlockBerryCreative,2,6.5,5.0,8.0,6.5,5.0
Bluedot Entertainment,1,5.5,5.5,5.5,5.5,5.5
Brand New Music,1,4.5,4.5,4.5,4.5,4.5
Brave Entertainment,2,4.75,2.0,7.5,4.75,2.0
C9 Entertainment,1,5.5,5.5,5.5,5.5,5.5
CJ ENM,1,7.5,7.5,7.5,7.5,7.5
CJeS Entertainment,1,4.0,4.0,4.0,4.0,4.0
CTDE&M,1,3.5,3.5,3.5,3.5,3.5
CUBE Entertainment,15,5.4,1.5,10.0,5.0,4.5
Cre.ker Entertainment,1,5.5,5.5,5.5,5.5,5.5
Dongyo,1,5.5,5.5,5.5,5.5,5.5
Dreamcatcher Company,7,8.36,6.5,10.0,9.0,7.0
FNC Entertainment,12,6.46,4.5,10.0,5.75,4.5
Fantagio,1,9.0,9.0,9.0,9.0,9.0
GF Entertainment,1,9.5,9.5,9.5,9.5,9.5
High Up Entertainment,3,2.0,0.0,4.0,2.0,0.0
J&Star Entertainment,2,7.0,6.0,8.0,7.0,6.0
JYP Entertainment,84,7.26,0.5,10.0,8.5,10.0
Jellyfish Entertainment,1,6.0,6.0,6.0,6.0,6.0
KONNECT Entertainment,1,3.0,3.0,3.0,3.0,3.0
KOZ Entertainment,2,7.0,4.0,10.0,7.0,4.0
KQ Entertainment,16,8.78,6.0,10.0,9.75,10.0
MLD Entertainment,2,4.25,4.0,4.5,4.25,4.0
MNH Entertainment,3,7.5,6.5,8.0,8.0,8.0
Makeus Entertainment,3,4.33,3.0,5.5,4.5,3.0
Mystic Story,2,6.25,6.0,6.5,6.25,6.0
ONE HUNDRED ,2,7.75,6.0,9.5,7.75,6.0
Off The Record Entertainment,4,3.63,3.0,4.0,3.75,4.0
Play M Entertainment,2,4.5,2.5,6.5,4.5,2.5
Pledis Entertainment,19,6.61,4.0,10.0,6.0,6.0
RBW,9,7.17,4.5,8.5,7.5,8.0
S2 Entertainment,2,5.25,5.0,5.5,5.25,5.0
SM Entertainment,51,5.13,2.0,10.0,4.5,4.0
Schnauzer Boulangerie,1,0.0,0.0,0.0,0.0,0.0
Seven Seasons,2,5.0,3.5,6.5,5.0,3.5
Source Music,9,4.28,2.0,7.5,4.0,2.0
Starship Entertainment,10,6.1,3.0,9.0,6.75,3.5
TADA Labels,1,10.0,10.0,10.0,10.0,10.0
TOP Media,1,5.0,5.0,5.0,5.0,5.0
TS Entertainment,2,10.0,10.0,10.0,10.0,10.0
Team Wang,1,4.5,4.5,4.5,4.5,4.5
The Black Label,2,5.75,4.5,7.0,5.75,4.5
WAKEONE,3,6.17,5.0,7.0,6.5,5.0
WM Entertainment,1,6.5,6.5,6.5,6.5,6.5
Wake One Entertainment,2,2.75,1.5,4.0,2.75,1.5
Waterbomb,2,5.5,3.0,8.0,5.5,3.0
XGALX,1,4.0,4.0,4.0,4.0,4.0
YG Entertainment,49,6.16,1.0,10.0,6.0,6.0
YMC Entertainment,3,4.67,4.5,5.0,4.5,4.5
Yuehua Entertainment,7,7.79,5.0,9.5,8.5,9.0
ZB Label,1,6.5,6.5,6.5,6.5,6.5
Sans compagnie,1,3.5,3.5,3.5,3.5,3.5
