Episode,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
1,22,7.84,4.0,10.0,8.5,8.5
2,22,8.84,6.0,10.0,9.0,10.0
3,22,7.84,2.5,10.0,8.25,10.0
4,22,7.34,0.5,10.0,8.25,9.0
5,22,6.5,0.0,10.0,7.5,10.0
6,22,6.77,0.0,10.0,8.0,8.0
7,22,6.91,1.5,10.0,7.75,8.0
8,22,5.8,1.5,10.0,5.75,3.5
9,22,6.32,0.5,10.0,6.5,10.0
10,22,6.82,1.0,10.0,7.5,10.0
11,22,6.0,0.0,10.0,5.5,4.0
12,22,5.98,1.0,10.0,5.75,5.5
13,22,5.57,0.0,10.0,6.0,6.0
14,22,5.14,1.0,10.0,4.5,4.5
15,22,5.98,2.0,10.0,5.5,8.0
16,22,4.89,1.5,10.0,4.5,4.5
17,22,4.89,1.5,9.0,4.25,4.0
18,22,5.89,2.5,10.0,6.0,4.0
19,22,5.86,2.5,9.5,6.25,7.0
20,22,5.41,2.0,10.0,4.75,4.5
