Ambiance_principale,Ambiance_secondaire,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
Atypique,Atypique,22,6.57,2.0,10.0,6.75,7.0
Atypique,Calme,7,4.36,2.0,9.0,3.0,3.0
Atypique,Dansant,41,6.43,1.5,10.0,6.5,7.0
Atypique,Sombre,6,7.58,4.5,10.0,8.0,10.0
Atypique,Épique,22,7.0,3.0,10.0,6.5,10.0
Calme,Atypique,17,6.56,1.0,10.0,6.5,10.0
Calme,Calme,33,6.76,2.5,10.0,7.5,8.0
Calme,Dansant,47,6.56,1.0,10.0,6.5,10.0
Calme,Sombre,11,7.0,3.0,10.0,7.5,9.0
Calme,Épique,12,6.08,1.0,10.0,6.75,3.0
Dansant,Atypique,37,6.68,1.0,10.0,7.0,7.0
Dansant,Calme,16,6.78,2.0,10.0,7.0,10.0
Dansant,Dansant,36,5.97,0.0,10.0,6.75,7.0
Dansant,Sombre,9,8.22,6.0,10.0,8.5,10.0
Dansant,Épique,31,6.81,3.0,10.0,7.0,7.0
Sombre,Atypique,9,6.94,3.0,10.0,8.0,8.0
Sombre,Calme,5,6.5,2.0,9.5,8.0,8.0
Sombre,Dansant,3,7.67,6.0,9.0,8.0,6.0
Sombre,Sombre,2,10.0,10.0,10.0,10.0,10.0
Sombre,Épique,13,8.08,6.0,10.0,8.0,10.0
Épique,Atypique,10,5.8,2.0,7.5,6.0,6.0
Épique,Calme,4,7.25,6.0,10.0,6.5,6.0
Épique,Dansant,24,7.23,1.0,10.0,7.5,10.0
Épique,Sombre,19,6.79,4.0,10.0,7.0,7.0
Épique,Épique,4,6.75,6.0,8.0,6.5,6.0
