Annee,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
2009,4,6.5,4.0,9.0,6.5,4.0
2010,1,6.5,6.5,6.5,6.5,6.5
2011,6,6.67,5.0,8.0,7.0,7.0
2012,5,8.1,6.5,10.0,7.0,7.0
2013,5,6.7,5.0,8.0,7.0,5.0
2014,7,7.57,6.0,10.0,7.0,6.0
2015,16,8.03,1.0,10.0,8.5,10.0
2016,15,6.77,2.0,10.0,8.0,8.0
2017,24,8.31,3.0,10.0,9.0,10.0
2018,35,7.23,1.5,10.0,7.0,7.0
2019,49,8.0,2.0,10.0,8.5,10.0
2020,55,7.95,3.0,10.0,8.5,10.0
2021,32,5.25,1.0,10.0,5.5,6.0
2022,40,5.7,0.0,10.0,6.0,6.0
2023,85,5.59,1.0,10.0,6.0,6.0
2024,61,5.95,2.0,10.0,6.0,6.0
