Artiste,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
(G)I-dle,9,7.11,3.0,10.0,7.0,10.0
2 PM,1,4.0,4.0,4.0,4.0,4.0
2Ne1,2,8.75,7.5,10.0,8.75,7.5
4Minute,1,10.0,10.0,10.0,10.0,10.0
8Turn,2,6.75,6.5,7.0,6.75,6.5
AB6IX,1,10.0,10.0,10.0,10.0,10.0
Aespa,8,5.81,5.0,7.0,6.0,6.0
Agust D,2,4.0,4.0,4.0,4.0,4.0
AleXa,1,6.0,6.0,6.0,6.0,6.0
Ampers&one,1,6.0,6.0,6.0,6.0,6.0
Astro,1,9.5,9.5,9.5,9.5,9.5
Ateez,14,7.18,4.0,10.0,6.75,10.0
B.A.P,2,5.5,5.0,6.0,5.5,5.0
BTS,37,5.99,1.0,10.0,6.0,6.0
BabyMonster,4,3.25,2.0,5.0,3.0,3.0
Badvillain,1,6.0,6.0,6.0,6.0,6.0
Bangchan & Hyunjin,1,2.0,2.0,2.0,2.0,2.0
Bibi,1,10.0,10.0,10.0,10.0,10.0
BigBang,4,8.5,4.0,10.0,10.0,10.0
BlackPink,14,6.14,2.0,9.0,7.0,7.5
Block B,2,9.0,8.0,10.0,9.0,8.0
BoyNextDoor,2,7.25,7.0,7.5,7.25,7.0
Brave Girls,1,10.0,10.0,10.0,10.0,10.0
Bus,1,6.0,6.0,6.0,6.0,6.0
CIX,1,8.0,8.0,8.0,8.0,8.0
Chung Ha,1,10.0,10.0,10.0,10.0,10.0
Cnblue,1,5.0,5.0,5.0,5.0,5.0
Cravity,1,7.5,7.5,7.5,7.5,7.5
Day6,3,9.67,9.0,10.0,10.0,10.0
Dongkiz,1,7.0,7.0,7.0,7.0,7.0
Dreamcatcher,7,8.29,7.0,10.0,8.0,7.0
Enhypen,10,6.8,3.0,10.0,6.5,6.0
Eric Nam,1,10.0,10.0,10.0,10.0,10.0
Everglow,6,7.17,5.5,8.5,7.0,7.0
Exid,1,10.0,10.0,10.0,10.0,10.0
Exo,5,8.1,7.5,9.0,8.0,8.0
Fifty fifty,1,4.0,4.0,4.0,4.0,4.0
Ftisland,1,6.5,6.5,6.5,6.5,6.5
GOT the beat,1,6.0,6.0,6.0,6.0,6.0
Gfriend,1,7.5,7.5,7.5,7.5,7.5
Girls' Generation,3,6.83,6.5,7.0,7.0,7.0
Got7,5,6.2,3.0,10.0,5.0,5.0
Huh Yunjin,1,8.0,8.0,8.0,8.0,8.0
Hwa Sa,2,8.5,7.0,10.0,8.5,7.0
Illit,1,8.0,8.0,8.0,8.0,8.0
Irene & Seulgi,1,9.0,9.0,9.0,9.0,9.0
Itzy,6,6.83,4.0,10.0,7.0,7.0
Ive,7,2.14,0.0,5.0,2.0,2.0
Iz*one,4,7.13,5.5,9.0,7.0,7.0
J-Hope,1,2.0,2.0,2.0,2.0,2.0
Jackson Wang,1,9.0,9.0,9.0,9.0,9.0
Jennie,2,2.25,2.0,2.5,2.25,2.0
Jeon somi,2,8.0,7.0,9.0,8.0,7.0
Jihyo,1,6.0,6.0,6.0,6.0,6.0
Jimin,3,5.67,5.0,6.0,6.0,6.0
Jisoo,1,3.0,3.0,3.0,3.0,3.0
Jung Kook,3,4.0,1.0,9.0,2.0,1.0
Just B,1,7.0,7.0,7.0,7.0,7.0
Kai,1,4.0,4.0,4.0,4.0,4.0
Kang Daniel,1,10.0,10.0,10.0,10.0,10.0
Kep1er,2,5.5,5.0,6.0,5.5,5.0
Kiss of life,2,4.5,3.0,6.0,4.5,3.0
Le Sserafim,7,5.0,1.0,7.5,6.0,1.0
Lisa,4,4.75,3.0,6.0,5.0,5.0
Loona,2,5.75,4.0,7.5,5.75,4.0
Loossemble,1,6.5,6.5,6.5,6.5,6.5
Lucy,2,7.75,7.5,8.0,7.75,7.5
MCND,1,9.0,9.0,9.0,9.0,9.0
Mamamoo,3,10.0,10.0,10.0,10.0,10.0
Momoland,2,5.5,4.0,7.0,5.5,4.0
Monsta X,2,9.0,8.0,10.0,9.0,8.0
N.Flying,3,10.0,10.0,10.0,10.0,10.0
NCT 127,5,7.6,4.0,10.0,7.0,7.0
NCT Dream,6,6.67,3.0,10.0,6.0,6.0
NCT U,2,9.0,9.0,9.0,9.0,9.0
Nayeon,1,2.0,2.0,2.0,2.0,2.0
NewJeans,6,5.58,1.0,9.0,6.0,1.0
Nmixx,5,3.5,3.0,5.0,3.0,3.0
Nu'est,2,9.5,9.0,10.0,9.5,9.0
ONF,1,10.0,10.0,10.0,10.0,10.0
Oneus,4,7.25,6.0,10.0,6.5,6.0
P1Harmony,4,7.63,6.0,10.0,7.25,6.0
Pentagon,5,9.8,9.0,10.0,10.0,10.0
Psy,5,7.2,7.0,8.0,7.0,7.0
Red Velvet,5,8.1,7.0,10.0,7.5,7.0
Riize,3,6.33,5.0,7.0,7.0,7.0
Rosé,2,6.5,3.0,10.0,6.5,3.0
SF9,2,8.5,7.0,10.0,8.5,7.0
SHINee,2,9.5,9.0,10.0,9.5,9.0
Samuel,1,7.0,7.0,7.0,7.0,7.0
Seventeen,16,7.41,1.0,10.0,8.0,10.0
Shaun,1,8.0,8.0,8.0,8.0,8.0
StayC,3,4.17,3.0,5.5,4.0,3.0
Stella Jang,1,5.0,5.0,5.0,5.0,5.0
Stray Kids,43,7.02,2.0,10.0,6.5,10.0
Sunmi,3,9.33,8.0,10.0,10.0,10.0
Super junior,4,8.25,6.0,10.0,8.5,6.0
SuperM,2,7.75,7.5,8.0,7.75,7.5
TWS,1,6.0,6.0,6.0,6.0,6.0
TXT,15,4.9,2.0,10.0,3.0,3.0
Taemin,1,8.5,8.5,8.5,8.5,8.5
Tempest,1,7.0,7.0,7.0,7.0,7.0
The Boyz,1,8.5,8.5,8.5,8.5,8.5
The KingDom,1,7.5,7.5,7.5,7.5,7.5
The boyz,2,7.5,6.0,9.0,7.5,6.0
The rose,2,6.5,6.0,7.0,6.5,6.0
Treasure,7,4.57,3.0,7.0,4.0,3.0
Twice,10,6.45,2.0,10.0,6.75,7.0
Tzuyu,1,2.0,2.0,2.0,2.0,2.0
Uniq,1,10.0,10.0,10.0,10.0,10.0
VIXX,1,10.0,10.0,10.0,10.0,10.0
Viviz,1,6.0,6.0,6.0,6.0,6.0
Wanna one,3,9.0,8.0,10.0,9.0,8.0
Weekly,1,2.0,2.0,2.0,2.0,2.0
Wendy,1,6.0,6.0,6.0,6.0,6.0
Winner,1,9.0,9.0,9.0,9.0,9.0
Wonder Girls,2,7.75,5.5,10.0,7.75,5.5
Woodz,1,8.0,8.0,8.0,8.0,8.0
X1,1,10.0,10.0,10.0,10.0,10.0
XG,1,9.5,9.5,9.5,9.5,9.5
Xdinary Heroes,5,7.4,6.0,9.0,7.0,7.0
Xikers,2,6.5,6.0,7.0,6.5,6.0
Yena,2,6.25,5.5,7.0,6.25,5.5
Yena & Yuqi,1,7.0,7.0,7.0,7.0,7.0
Yeonjun,1,3.0,3.0,3.0,3.0,3.0
Zerobaseone,3,5.67,5.0,6.0,6.0,6.0
f(x),1,7.0,7.0,7.0,7.0,7.0
iKon,2,8.5,8.0,9.0,8.5,8.0
