Compagnie,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
88rising,1,10.0,10.0,10.0,10.0,10.0
AAP Entertainment,1,4.0,4.0,4.0,4.0,4.0
ADOR,6,5.58,1.0,9.0,6.0,1.0
AOMG,1,8.0,8.0,8.0,8.0,8.0
BELIFT LAB,1,8.0,8.0,8.0,8.0,8.0
BPM,1,6.0,6.0,6.0,6.0,6.0
BPM Entertainment,1,6.0,6.0,6.0,6.0,6.0
Banana Culture Entertainment,1,10.0,10.0,10.0,10.0,10.0
Belift Lab,10,6.8,3.0,10.0,6.5,6.0
BigHit Entertainment,62,5.44,1.0,10.0,6.0,3.0
BlockBerryCreative,2,5.75,4.0,7.5,5.75,4.0
Bluedot Entertainment,1,7.0,7.0,7.0,7.0,7.0
Brand New Music,1,10.0,10.0,10.0,10.0,10.0
Brave Entertainment,2,8.5,7.0,10.0,8.5,7.0
C9 Entertainment,1,8.0,8.0,8.0,8.0,8.0
CJ ENM,1,10.0,10.0,10.0,10.0,10.0
CJeS Entertainment,1,10.0,10.0,10.0,10.0,10.0
CTDE&M,1,6.5,6.5,6.5,6.5,6.5
CUBE Entertainment,15,8.2,3.0,10.0,10.0,10.0
Cre.ker Entertainment,1,8.5,8.5,8.5,8.5,8.5
Dongyo,1,7.0,7.0,7.0,7.0,7.0
Dreamcatcher Company,7,8.29,7.0,10.0,8.0,7.0
FNC Entertainment,12,7.92,5.0,10.0,7.25,10.0
Fantagio,1,9.5,9.5,9.5,9.5,9.5
GF Entertainment,1,7.5,7.5,7.5,7.5,7.5
High Up Entertainment,3,4.17,3.0,5.5,4.0,3.0
J&Star Entertainment,2,6.5,6.0,7.0,6.5,6.0
JYP Entertainment,84,6.59,2.0,10.0,6.5,10.0
Jellyfish Entertainment,1,10.0,10.0,10.0,10.0,10.0
KONNECT Entertainment,1,10.0,10.0,10.0,10.0,10.0
KOZ Entertainment,2,7.25,7.0,7.5,7.25,7.0
KQ Entertainment,16,7.09,4.0,10.0,6.75,6.0
MLD Entertainment,2,5.5,4.0,7.0,5.5,4.0
MNH Entertainment,3,7.83,6.5,10.0,7.0,6.5
Makeus Entertainment,3,9.33,8.0,10.0,10.0,10.0
Mystic Story,2,7.75,7.5,8.0,7.75,7.5
ONE HUNDRED ,2,7.5,6.0,9.0,7.5,6.0
Off The Record Entertainment,4,7.13,5.5,9.0,7.0,7.0
Play M Entertainment,2,5.0,2.0,8.0,5.0,2.0
Pledis Entertainment,19,7.55,1.0,10.0,8.0,10.0
RBW,9,8.44,6.0,10.0,10.0,10.0
S2 Entertainment,2,4.5,3.0,6.0,4.5,3.0
SM Entertainment,51,7.27,3.0,10.0,7.0,7.0
Schnauzer Boulangerie,1,5.0,5.0,5.0,5.0,5.0
Seven Seasons,2,9.0,8.0,10.0,9.0,8.0
Source Music,9,5.61,1.0,8.0,6.5,7.5
Starship Entertainment,10,4.05,0.0,10.0,2.5,2.0
TADA Labels,1,6.0,6.0,6.0,6.0,6.0
TOP Media,1,9.0,9.0,9.0,9.0,9.0
TS Entertainment,2,5.5,5.0,6.0,5.5,5.0
Team Wang,1,9.0,9.0,9.0,9.0,9.0
The Black Label,2,8.0,7.0,9.0,8.0,7.0
WAKEONE,3,5.67,5.0,6.0,6.0,6.0
WM Entertainment,1,10.0,10.0,10.0,10.0,10.0
Wake One Entertainment,2,5.5,5.0,6.0,5.5,5.0
Waterbomb,2,6.25,5.5,7.0,6.25,5.5
XGALX,1,9.5,9.5,9.5,9.5,9.5
YG Entertainment,49,6.0,2.0,10.0,6.5,3.0
YMC Entertainment,3,9.0,8.0,10.0,9.0,8.0
Yuehua Entertainment,7,7.14,5.5,8.5,7.0,7.0
ZB Label,1,6.0,6.0,6.0,6.0,6.0
Sans compagnie,1,7.0,7.0,7.0,7.0,7.0
