Episode,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
1,22,6.91,1.0,10.0,7.0,7.0
2,22,5.43,1.0,10.0,5.75,2.0
3,22,5.73,1.0,10.0,6.25,8.0
4,22,5.23,1.0,10.0,5.0,2.0
5,22,6.61,1.0,10.0,6.75,8.0
6,22,6.36,3.0,10.0,6.0,6.0
7,22,6.39,1.0,10.0,7.0,7.0
8,22,6.18,4.0,9.0,6.0,6.0
9,22,6.68,0.0,10.0,6.75,6.0
10,22,5.8,2.0,10.0,6.0,6.0
11,22,6.5,1.5,10.0,6.75,6.5
12,22,7.25,3.0,10.0,7.0,10.0
13,22,7.61,2.0,10.0,8.5,10.0
14,22,7.2,3.0,10.0,7.5,10.0
15,22,7.77,4.0,10.0,8.5,10.0
16,22,7.77,4.0,10.0,7.0,10.0
17,22,7.02,3.0,10.0,7.5,6.0
18,22,7.39,2.0,10.0,7.5,9.0
19,22,7.05,4.0,10.0,6.75,6.0
20,22,7.02,2.0,10.0,7.25,10.0
