Numero,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
1,20,6.92,3.0,10.0,7.0,7.0
2,20,6.6,1.0,10.0,6.0,6.0
3,20,5.85,1.0,10.0,6.0,6.0
4,20,7.42,3.0,10.0,7.5,10.0
5,20,7.05,1.0,10.0,7.0,10.0
6,20,7.05,2.0,10.0,7.25,9.0
7,20,7.4,1.0,10.0,8.5,10.0
8,20,7.3,2.0,10.0,7.25,7.0
9,20,7.08,3.0,10.0,7.0,7.0
10,20,5.92,1.0,10.0,6.0,6.0
11,20,7.15,2.0,10.0,7.0,7.0
12,20,6.95,3.0,10.0,7.0,10.0
13,20,6.85,3.0,10.0,6.75,6.0
14,20,6.5,1.0,10.0,7.0,10.0
15,20,6.5,2.0,10.0,7.0,6.0
16,20,6.4,1.0,10.0,7.0,10.0
17,20,5.85,3.0,10.0,6.0,3.0
18,20,6.58,0.0,10.0,7.0,10.0
19,20,6.42,1.5,10.0,6.25,6.0
20,20,6.47,3.0,10.0,6.75,6.0
21,20,6.42,2.0,10.0,6.25,6.0
22,20,6.6,3.0,10.0,7.0,6.0
