ID,Episode,Numero,Artiste,Generation,Compagnie,Sexe,Taille,Titre,Annee,Sous_unite,Featuring,Moyenne_Nouveaux_fans,Moyenne_Anciens_fans,Moyenne_Totale
1,1,1,BTS,3,BigHit Entertainment,Gars,Groupe,War of hormones,2014,Non,Non,6.25,7.5,6.88
2,1,2,Stray Kids,4,JYP Entertainment,Gars,Groupe,Hellevator,2017,Non,Non,8.25,9.75,9.0
3,1,3,(G)I-dle,4,CUBE Entertainment,Fille,Groupe,Latata,2018,Non,Non,6.0,6.5,6.25
4,1,4,Exo,3,SM Entertainment,Gars,Groupe,Monster,2016,Non,Non,6.75,8.5,7.63
5,1,5,Ateez,4,KQ Entertainment,Gars,Groupe,Crazy form,2023,Non,Non,7.0,6.0,6.5
6,1,6,Jennie,3,YG Entertainment,Fille,Solo,Solo,2018,Non,Non,4.25,3.0,3.63
7,1,7,Wanna one,3,YMC Entertainment,Gars,Groupe,Beautiful,2017,Non,Non,2.75,9.5,6.13
8,1,8,Bangchan & Hyunjin,4,JYP Entertainment,Gars,Duo,Red lights,2021,Non,Non,9.0,4.5,6.75
9,1,9,Dreamcatcher,3,Dreamcatcher Company,Fille,Groupe,Scream,2020,Non,Non,9.25,10.0,9.63
10,1,10,BTS,3,BigHit Entertainment,Gars,Groupe,Save me,2016,Non,Non,5.75,9.5,7.63
11,1,11,NCT 127,4,SM Entertainment,Gars,Groupe,Fact check,2023,Non,Non,6.5,7.0,6.75
12,1,12,BlackPink,3,YG Entertainment,Fille,Groupe,Ddu-du-ddu-du,2018,Non,Non,6.25,4.5,5.38
13,1,13,Agust D,3,BigHit Entertainment,Gars,Solo,Agust D,2016,Non,Non,3.5,7.0,5.25
14,1,14,TXT,4,BigHit Entertainment,Gars,Groupe,Loser=Lover,2021,Non,Non,7.75,10.0,8.88
15,1,15,Hwa Sa,3,RBW,Fille,Solo,Maria,2020,Non,Non,7.0,8.5,7.75
16,1,16,BTS,3,BigHit Entertainment,Gars,Groupe,Run,2015,Non,Non,7.0,4.5,5.75
17,1,17,Itzy,4,JYP Entertainment,Fille,Groupe,Loco,2021,Non,Non,7.75,7.0,7.38
18,1,18,Enhypen,4,Belift Lab,Gars,Groupe,Fever,2021,Non,Non,7.0,9.75,8.38
19,1,19,Stray Kids,4,JYP Entertainment,Gars,Groupe,Miroh,2019,Non,Non,10.0,10.0,10.0
20,1,20,Twice,3,JYP Entertainment,Fille,Groupe,One spark,2023,Non,Non,2.25,7.75,5.0
21,1,21,Seventeen,3,Pledis Entertainment,Gars,Groupe,Rock with you,2021,Non,Non,9.75,10.0,9.88
22,1,22,Psy,2,YG Entertainment,Gars,Solo,That that,2022,Non,Non,3.0,4.0,3.5
23,2,1,BigBang,2,YG Entertainment,Gars,Groupe,Fantastic baby,2012,Non,Non,3.75,9.5,6.63
24,2,2,Aespa,4,SM Entertainment,Fille,Groupe,Drama,2023,Non,Non,7.75,6.0,6.88
25,2,3,Seventeen,3,Pledis Entertainment,Gars,Groupe,Super,2023,Non,Non,7.25,4.5,5.88
26,2,4,Stray Kids,4,JYP Entertainment,Gars,Groupe,Maniac,2023,Non,Non,9.5,7.75,8.63
27,2,5,Le Sserafim,4,Source Music,Fille,Groupe,Antifragile,2022,Non,Non,5.5,3.5,4.5
28,2,6,BTS,3,BigHit Entertainment,Gars,Groupe,N.O,2013,Non,Non,5.0,6.75,5.88
29,2,7,Jung Kook,3,BigHit Entertainment,Gars,Solo,Seven,2023,Non,Non,7.25,8.5,7.88
30,2,8,BlackPink,3,YG Entertainment,Fille,Groupe,How you like that,2020,Non,Non,7.0,8.5,7.75
31,2,9,Stray Kids,4,JYP Entertainment,Gars,Groupe,District 9,2018,Non,Non,7.75,8.0,7.88
32,2,10,Exo,3,SM Entertainment,Gars,Groupe,Love shot,2018,Non,Non,5.75,8.25,7.0
33,2,11,Nmixx,4,JYP Entertainment,Fille,Groupe,Soñar,2023,Non,Non,5.75,3.5,4.63
34,2,12,Ateez,4,KQ Entertainment,Gars,Groupe,Inception,2020,Non,Non,10.0,10.0,10.0
35,2,13,Enhypen,4,Belift Lab,Gars,Groupe,Sweet venom,2023,Non,Non,7.0,7.75,7.38
36,2,14,Lisa,3,YG Entertainment,Fille,Solo,Lalisa,2021,Non,Non,6.0,3.5,4.75
37,2,15,Stray Kids,4,JYP Entertainment,Gars,Groupe,Thunderous,2021,Non,Non,10.0,5.25,7.63
38,2,16,Jennie,3,YG Entertainment,Fille,Solo,You & Me,2023,Non,Non,3.0,2.75,2.88
39,2,17,BTS,3,BigHit Entertainment,Gars,Groupe,Idol,2018,Non,Non,7.0,4.5,5.75
